open_time,actual_return,actual_loss,MS_GARCH_mu,MS_GARCH_sigma,MS_GARCH_p_high,MS_GARCH_VaR_95,MS_GARCH_CVaR_95,MS_GARCH_VaR_99,MS_GARCH_CVaR_99,SV_mu,SV_sigma,SV_VaR_95,SV_CVaR_95,SV_VaR_99,SV_CVaR_99
2024-01-01 00:00:00+00:00,0.04386318131378095,-0.04386318131378095,0.0008726680964358352,0.029970601037935272,0.6744322984524453,0.03482610040117722,0.05830868825190343,0.06829080775316002,0.10571915404483588,0.0008726680964358352,0.016083321681862592,0.022486255208173513,0.037251265659064434,0.04914042041059215,0.06637710711049218
2024-01-02 00:00:00+00:00,0.01722000317113513,-0.01722000317113513,-0.0009719998062009915,0.031289798535685115,0.43145652470653356,0.042867823700333645,0.06607866110655213,0.07737707966241994,0.11112118300954098,-0.0009719998062009915,0.019895622924388554,0.028310334432994397,0.044961631702644216,0.05147136419898405,0.07764771230189413
2024-01-03 00:00:00+00:00,-0.04788769521256018,0.04788769521256018,0.0021336642659156224,0.031075597842453232,0.38579907806996305,0.04040036561630813,0.0642353042274425,0.07337041415327598,0.11370466307217711,0.0021336642659156224,0.020992694142984093,0.027690829671202268,0.04942365799183776,0.0635278080937456,0.09907051315205996
2024-01-04 00:00:00+00:00,0.03002352150755492,-0.03002352150755492,0.004292844991708836,0.03244628905210685,0.19468078340583142,0.043325524936478725,0.06962962996446469,0.07916805910385603,0.12285305782930933,0.004292844991708836,0.025684138946714306,0.033109401028159686,0.05043089491979953,0.060350483004663946,0.07698243739613093
2024-01-05 00:00:00+00:00,-0.0001356796630157846,0.0001356796630157846,-0.002653363449318019,0.032333812236359206,0.13592005707772714,0.05052491612158755,0.07728384204551407,0.0914123396421204,0.1278590907674857,-0.002653363449318019,0.027641307004943483,0.043600335961231695,0.06615760331064281,0.08056682875752769,0.09715070907335004
2024-01-06 00:00:00+00:00,-0.004012787545087865,0.004012787545087865,0.0020806162634086725,0.03205463394573857,0.2181031697395659,0.0449161438087511,0.06905967213401902,0.08022668782382274,0.11325345702057525,0.0020806162634086725,0.02526959023861072,0.03724021859945206,0.06204899324564485,0.07486958389789954,0.10794373147193037
2024-01-07 00:00:00+00:00,-0.000894225072540774,0.000894225072540774,0.0013992342457756369,0.03178631205664357,0.30869401835247223,0.04293516777223381,0.06620018635415202,0.07730964132772346,0.11062937064646537,0.0013992342457756369,0.023526055560315572,0.03643574603824075,0.05662920300251122,0.06540133378329131,0.09581326202445709
2024-01-08 00:00:00+00:00,0.06653020711240704,-0.06653020711240704,0.0008042914069772678,0.0315271107724382,0.4414669565386034,0.04087526121598934,0.06440164924861574,0.07518312877899981,0.11133477502313462,0.0008042914069772678,0.021732931515939354,0.030570736609685636,0.04333145593613485,0.04855025944278732,0.06595173842219731
2024-01-09 00:00:00+00:00,-0.018075510415030107,0.018075510415030107,-0.002342865856387822,0.034316800122634855,0.24242112522662074,0.05063924769956659,0.07614971661717133,0.08707361194904122,0.12476430982322104,-0.002342865856387822,0.027049205317260742,0.039713038627361315,0.06220695334901287,0.07823668421228061,0.09742369342640136
2024-01-10 00:00:00+00:00,0.01172860796383382,-0.01172860796383382,0.004873303872635316,0.033946487653705074,0.25167440141833186,0.043114055754266176,0.07200062000100121,0.08077742159378848,0.1339427791531744,0.004873303872635316,0.026899339599290126,0.035894148034397035,0.061785703701677436,0.07521074532742243,0.10998711881148648
2024-01-11 00:00:00+00:00,-0.006771062230729273,0.006771062230729273,-0.0001011666817771859,0.033663747423137914,0.3416759480161368,0.04616184602990842,0.07243091236287395,0.08318007583916948,0.12198370056916538,-0.0001011666817771859,0.025350539636734608,0.03540233383538848,0.05567270924507166,0.06294528564384491,0.09426190923660711
2024-01-12 00:00:00+00:00,-0.0798528754667809,0.0798528754667809,0.001633481706932467,0.033373454679128695,0.4453382731462293,0.04220250210194884,0.06938071573420464,0.08077603619132359,0.1246808592016141,0.001633481706932467,0.02386659856527657,0.03446177593982863,0.06406874117339825,0.05687182291539027,0.14283465709001725
2024-01-13 00:00:00+00:00,0.0015242196406752171,-0.0015242196406752171,0.00465120193480365,0.0375979574826432,0.27495531436565274,0.04991020312394171,0.07782072903923093,0.09331742960935037,0.12977034975424423,0.00465120193480365,0.02972945631678351,0.036932274612779314,0.06958742381365633,0.0880138438448917,0.1429109700573002
2024-01-14 00:00:00+00:00,-0.02638212870563945,0.02638212870563945,-0.0027362216000997907,0.03734284454687137,0.384454936543886,0.052544833274346524,0.08019958834875532,0.09200413235676207,0.1360673763971406,-0.0027362216000997907,0.027517020493865525,0.040475195321561554,0.06696643327210414,0.09443331754669455,0.11548498867756196
2024-01-15 00:00:00+00:00,0.01848861088034885,-0.01848861088034885,0.001989811183805832,0.036760278373225076,0.3289962860303659,0.048517138475131096,0.07606379673273685,0.09011528590695249,0.1303698518996777,0.001989811183805832,0.02880467322849362,0.04260823311599688,0.0700468350632254,0.07690079382434381,0.13207921343956197
2024-01-16 00:00:00+00:00,0.014637901828299413,-0.014637901828299413,-0.0009488413445987072,0.03627307895724653,0.33980849172976063,0.0510500515548826,0.07969207355038237,0.09010505695438485,0.1371920792968461,-0.0009488413445987072,0.028593361856628304,0.04340354590680495,0.06155305657087503,0.06560359798396935,0.10211307269432095
2024-01-17 00:00:00+00:00,-0.008423584725432613,0.008423584725432613,0.0010027189349690645,0.035810123909187135,0.35771766931709587,0.04766713565728347,0.07452755228359752,0.08842502779688446,0.12811359491009536,0.0010027189349690645,0.02830390448896353,0.035542953961944096,0.05548036004416694,0.06231179376973798,0.10184903753963159
2024-01-18 00:00:00+00:00,-0.03445139745815894,0.03445139745815894,0.0021830892928648813,0.03543355476545669,0.43901998165381634,0.045073369229606926,0.07245550673903406,0.08593243245313813,0.12451511745975719,0.0021830892928648813,0.02715164141086958,0.037244241341540744,0.0643863254081925,0.07481170890764481,0.12411582575005312
2024-01-19 00:00:00+00:00,0.007990013891329613,-0.007990013891329613,0.0023260134861104818,0.03535789290675988,0.27897770579304537,0.046914798377185596,0.07455548225730323,0.08756397209947828,0.12944724266387897,0.0023260134861104818,0.02988941239914495,0.042285508869127963,0.07013191462359653,0.08115211581535035,0.12389203693988968
2024-01-20 00:00:00+00:00,0.0008880084302503328,-0.0008880084302503328,-0.0010357577329667643,0.035032348769458176,0.38412880416682904,0.04940837376069038,0.07794274919154213,0.08945918504466753,0.13648177358557695,-0.0010357577329667643,0.028151512404001714,0.03797143472359483,0.06271781334534339,0.074001298455003,0.11120028011336583
2024-01-21 00:00:00+00:00,-0.002778941360300473,0.002778941360300473,0.0011564715207450604,0.03470344500997427,0.5199892377605789,0.04464530205535199,0.07166919566687191,0.08408318333795932,0.12753769998495407,0.0011564715207450604,0.02645406957268081,0.036181323861957895,0.0609643622911598,0.07625192646661166,0.0985783829195018
2024-01-22 00:00:00+00:00,-0.049606002668420156,0.049606002668420156,0.0012654483953700954,0.03429623354726004,0.6449043165086019,0.0390822822633001,0.06751264969611322,0.07665036149597776,0.12715733321679756,0.0012654483953700954,0.024784644337358892,0.03173357343403021,0.0599314398164176,0.07388065226672917,0.10940405354092904
