state,omega,alpha,beta,nu,persistence,unconditional_variance,h_last,n_obs
low_vol,0.3262005630935517,0.04400603797056111,0.94215882134402,4.500639310264252,0.9861648593145811,23.57768312665877,8.930818331813954,2327
high_vol,0.47003558534254974,0.08263517857892744,0.9163557337963489,2.3177675799026267,0.9989909123752764,465.80254660370605,9.405522259010954,2327
