open_time,sigma_mean,sigma_q025,sigma_q975
2017-08-18 00:00:00+00:00,0.025811667,0.014667055,0.04142447
2017-08-19 00:00:00+00:00,0.025634946,0.015073099,0.040409196
2017-08-20 00:00:00+00:00,0.02574192,0.015268789,0.041530337
2017-08-21 00:00:00+00:00,0.025901496,0.015970888,0.04115257
2017-08-22 00:00:00+00:00,0.026077636,0.016128266,0.04124354
2017-08-23 00:00:00+00:00,0.026322436,0.016670967,0.041507527
2017-08-24 00:00:00+00:00,0.026781943,0.017207006,0.041664403
2017-08-25 00:00:00+00:00,0.027072826,0.017166864,0.04125905
2017-08-26 00:00:00+00:00,0.027601693,0.017716309,0.042326294
2017-08-27 00:00:00+00:00,0.028361138,0.018573284,0.043408528
2017-08-28 00:00:00+00:00,0.029092403,0.018774165,0.043624178
2017-08-29 00:00:00+00:00,0.030086061,0.01973004,0.04506331
2017-08-30 00:00:00+00:00,0.030872038,0.019986546,0.046313554
2017-08-31 00:00:00+00:00,0.031889487,0.020914996,0.04665744
2017-09-01 00:00:00+00:00,0.03298406,0.022024551,0.04826945
2017-09-02 00:00:00+00:00,0.03431688,0.022435537,0.05039046
2017-09-03 00:00:00+00:00,0.03531131,0.023234088,0.051056385
2017-09-04 00:00:00+00:00,0.036581166,0.02365764,0.052589074
2017-09-05 00:00:00+00:00,0.037288662,0.024139632,0.053427715
2017-09-06 00:00:00+00:00,0.037829086,0.02444401,0.055362035
2017-09-07 00:00:00+00:00,0.03795513,0.024470609,0.057352122
2017-09-08 00:00:00+00:00,0.03866423,0.025070267,0.05853624
2017-09-09 00:00:00+00:00,0.038588747,0.024861196,0.05879691
2017-09-10 00:00:00+00:00,0.03864262,0.024898052,0.059194297
2017-09-11 00:00:00+00:00,0.03900922,0.02484746,0.058666106
2017-09-12 00:00:00+00:00,0.039774504,0.025906129,0.06203138
2017-09-13 00:00:00+00:00,0.040571626,0.02608726,0.062077448
2017-09-14 00:00:00+00:00,0.041122217,0.025910838,0.06301046
2017-09-15 00:00:00+00:00,0.040807225,0.025612295,0.06067728
2017-09-16 00:00:00+00:00,0.039852373,0.025462082,0.059842948
2017-09-17 00:00:00+00:00,0.039132066,0.024967238,0.058638103
2017-09-18 00:00:00+00:00,0.038807865,0.02481073,0.058622155
2017-09-19 00:00:00+00:00,0.038049743,0.02488886,0.056524698
2017-09-20 00:00:00+00:00,0.037557654,0.024096927,0.05552385
2017-09-21 00:00:00+00:00,0.037242945,0.024350595,0.05344219
2017-09-22 00:00:00+00:00,0.03671447,0.023250662,0.054110803
2017-09-23 00:00:00+00:00,0.036228694,0.023392335,0.053067427
2017-09-24 00:00:00+00:00,0.035576537,0.023196794,0.053586356
2017-09-25 00:00:00+00:00,0.034890592,0.022220079,0.051543985
2017-09-26 00:00:00+00:00,0.03400644,0.021432746,0.050570875
2017-09-27 00:00:00+00:00,0.033346694,0.021170598,0.049024113
2017-09-28 00:00:00+00:00,0.032441642,0.02060861,0.048009563
2017-09-29 00:00:00+00:00,0.031852797,0.020443443,0.04707023
2017-09-30 00:00:00+00:00,0.031217454,0.020274984,0.045618158
2017-10-01 00:00:00+00:00,0.03056413,0.019114658,0.045104
2017-10-02 00:00:00+00:00,0.030235734,0.018994665,0.045004394
2017-10-03 00:00:00+00:00,0.03002617,0.018922294,0.044291355
2017-10-04 00:00:00+00:00,0.029882357,0.01909712,0.04465166
2017-10-05 00:00:00+00:00,0.029779248,0.01908353,0.043432362
2017-10-06 00:00:00+00:00,0.029779183,0.019322226,0.04282461
2017-10-07 00:00:00+00:00,0.03002141,0.019613951,0.04446962
2017-10-08 00:00:00+00:00,0.030277975,0.01973363,0.043741435
2017-10-09 00:00:00+00:00,0.030458685,0.020015704,0.04438594
2017-10-10 00:00:00+00:00,0.03079435,0.020789325,0.04471522
2017-10-11 00:00:00+00:00,0.031185687,0.020401226,0.04583108
2017-10-12 00:00:00+00:00,0.03176999,0.021342339,0.04604488
2017-10-13 00:00:00+00:00,0.03187294,0.02139659,0.045794535
2017-10-14 00:00:00+00:00,0.031789266,0.021732623,0.045038644
2017-10-15 00:00:00+00:00,0.03164528,0.021158226,0.046305668
2017-10-16 00:00:00+00:00,0.03144947,0.020910578,0.04582426
2017-10-17 00:00:00+00:00,0.03154417,0.02098358,0.04597809
2017-10-18 00:00:00+00:00,0.031585608,0.020683257,0.046329632
2017-10-19 00:00:00+00:00,0.031862,0.02055972,0.047304098
2017-10-20 00:00:00+00:00,0.031930223,0.02085983,0.04723437
2017-10-21 00:00:00+00:00,0.031915605,0.021113707,0.04810999
2017-10-22 00:00:00+00:00,0.032122184,0.021485174,0.04633188
2017-10-23 00:00:00+00:00,0.032564703,0.02215366,0.047535248
2017-10-24 00:00:00+00:00,0.033057675,0.022147678,0.047040235
2017-10-25 00:00:00+00:00,0.03344463,0.0228958,0.047841627
2017-10-26 00:00:00+00:00,0.033704165,0.022952646,0.048625477
2017-10-27 00:00:00+00:00,0.03385233,0.02327989,0.049242888
2017-10-28 00:00:00+00:00,0.034193374,0.023133125,0.050126143
2017-10-29 00:00:00+00:00,0.034931086,0.02304873,0.050626826
2017-10-30 00:00:00+00:00,0.035065915,0.023863662,0.051307574
2017-10-31 00:00:00+00:00,0.035514973,0.0242885,0.050207287
2017-11-01 00:00:00+00:00,0.03588992,0.024416592,0.051050596
2017-11-02 00:00:00+00:00,0.036218073,0.02478018,0.05235673
2017-11-03 00:00:00+00:00,0.03649516,0.025105607,0.05206865
2017-11-04 00:00:00+00:00,0.037037067,0.025183182,0.0531457
2017-11-05 00:00:00+00:00,0.037378207,0.02559067,0.05371582
2017-11-06 00:00:00+00:00,0.03795887,0.02554837,0.054276492
2017-11-07 00:00:00+00:00,0.03866618,0.025739495,0.05639914
2017-11-08 00:00:00+00:00,0.03952974,0.02654979,0.05824638
2017-11-09 00:00:00+00:00,0.040493626,0.027674928,0.05919616
2017-11-10 00:00:00+00:00,0.041625034,0.028666062,0.06035952
2017-11-11 00:00:00+00:00,0.042188894,0.02884616,0.06125818
2017-11-12 00:00:00+00:00,0.04283424,0.028809799,0.061402347
2017-11-13 00:00:00+00:00,0.04311206,0.028897788,0.06282606
2017-11-14 00:00:00+00:00,0.042784795,0.028776996,0.063164674
2017-11-15 00:00:00+00:00,0.042808637,0.028034884,0.06437955
2017-11-16 00:00:00+00:00,0.04230457,0.027742794,0.0618047
2017-11-17 00:00:00+00:00,0.041419376,0.02664417,0.060871493
2017-11-18 00:00:00+00:00,0.040708095,0.027239848,0.060083304
2017-11-19 00:00:00+00:00,0.04045507,0.025756754,0.059962235
2017-11-20 00:00:00+00:00,0.04019523,0.025833968,0.0588597
2017-11-21 00:00:00+00:00,0.039910324,0.025239902,0.058978193
2017-11-22 00:00:00+00:00,0.04004181,0.025504053,0.06010302
2017-11-23 00:00:00+00:00,0.040253248,0.02577995,0.059074823
2017-11-24 00:00:00+00:00,0.040710066,0.02558796,0.05900536
2017-11-25 00:00:00+00:00,0.04156264,0.026805867,0.0602287
2017-11-26 00:00:00+00:00,0.042055495,0.027724808,0.06026773
2017-11-27 00:00:00+00:00,0.042742774,0.02791158,0.06269898
2017-11-28 00:00:00+00:00,0.043094214,0.028539905,0.062263105
2017-11-29 00:00:00+00:00,0.043526538,0.02877797,0.06322138
2017-11-30 00:00:00+00:00,0.044235244,0.029171722,0.064515255
2017-12-01 00:00:00+00:00,0.04538713,0.03013461,0.06626516
2017-12-02 00:00:00+00:00,0.04590226,0.029811168,0.0658844
2017-12-03 00:00:00+00:00,0.046947908,0.030594766,0.06888303
2017-12-04 00:00:00+00:00,0.04811663,0.031051984,0.07209101
2017-12-05 00:00:00+00:00,0.049570285,0.03279595,0.074577115
2017-12-06 00:00:00+00:00,0.051205914,0.03307222,0.07755112
2017-12-07 00:00:00+00:00,0.05235171,0.03435198,0.07872032
2017-12-08 00:00:00+00:00,0.052370753,0.033478443,0.07730859
2017-12-09 00:00:00+00:00,0.052562818,0.034043532,0.07855671
2017-12-10 00:00:00+00:00,0.0522969,0.033537235,0.07648973
2017-12-11 00:00:00+00:00,0.05239277,0.034062076,0.07576114
2017-12-12 00:00:00+00:00,0.051836908,0.03340483,0.075165585
2017-12-13 00:00:00+00:00,0.051946625,0.033946708,0.074885294
2017-12-14 00:00:00+00:00,0.05242289,0.034146223,0.07565361
2017-12-15 00:00:00+00:00,0.05276862,0.034311753,0.07607284
2017-12-16 00:00:00+00:00,0.053123653,0.034872804,0.07638525
2017-12-17 00:00:00+00:00,0.05333312,0.035326988,0.0777688
2017-12-18 00:00:00+00:00,0.053911034,0.035007942,0.079179406
2017-12-19 00:00:00+00:00,0.054903805,0.035923615,0.08190874
2017-12-20 00:00:00+00:00,0.05507681,0.035492193,0.08393791
2017-12-21 00:00:00+00:00,0.055498313,0.036411885,0.08334881
2017-12-22 00:00:00+00:00,0.055645935,0.036390442,0.08484229
2017-12-23 00:00:00+00:00,0.05542567,0.036117714,0.08348868
2017-12-24 00:00:00+00:00,0.05546076,0.0368195,0.08294274
2017-12-25 00:00:00+00:00,0.055737596,0.036723625,0.08336868
2017-12-26 00:00:00+00:00,0.056610137,0.036577523,0.08322613
2017-12-27 00:00:00+00:00,0.05672277,0.036979567,0.084269695
2017-12-28 00:00:00+00:00,0.057305768,0.03783223,0.08349249
2017-12-29 00:00:00+00:00,0.05754033,0.03760241,0.08602815
2017-12-30 00:00:00+00:00,0.058228794,0.03867361,0.08551047
2017-12-31 00:00:00+00:00,0.05767539,0.038684744,0.08367951
2018-01-01 00:00:00+00:00,0.057109814,0.039033838,0.08306796
2018-01-02 00:00:00+00:00,0.056978356,0.037381478,0.08230495
2018-01-03 00:00:00+00:00,0.056542233,0.037217826,0.0822036
2018-01-04 00:00:00+00:00,0.056347065,0.037001777,0.08138973
2018-01-05 00:00:00+00:00,0.05630729,0.037168466,0.079704754
2018-01-06 00:00:00+00:00,0.056222353,0.03781679,0.082000345
2018-01-07 00:00:00+00:00,0.05616114,0.03796792,0.08118764
2018-01-08 00:00:00+00:00,0.056143895,0.037460614,0.08083621
2018-01-09 00:00:00+00:00,0.05607862,0.036980923,0.080608256
2018-01-10 00:00:00+00:00,0.05617062,0.037140455,0.082976095
2018-01-11 00:00:00+00:00,0.056360267,0.037753463,0.08080869
2018-01-12 00:00:00+00:00,0.05602565,0.03699736,0.08122713
2018-01-13 00:00:00+00:00,0.05576733,0.036325764,0.08206471
