parameter,mean,sd,q025,q500,q975
h_0,-7.38046407699585,0.5165919661521912,-8.444304466247559,-7.380873680114746,-6.367767333984375
mu_h,-7.645362377166748,0.2845287621021271,-8.1317777633667,-7.648040771484375,-7.0982184410095215
nu,3.2354061603546143,0.28060606122016907,2.7316205501556396,3.2254066467285156,3.8200111389160156
nu_minus_two,1.18540620803833,0.28060606122016907,0.681620717048645,1.1754066944122314,1.770011305809021
phi_h,0.984495997428894,0.0055037084966897964,0.9729096293449402,0.9848058223724365,0.9948221445083618
sigma_h,0.1683737188577652,0.024450117722153664,0.11634223908185959,0.16608783602714539,0.2297912836074829
